match_id,tournament_id,tournament_name,league_band,scheduled_start_utc,scheduled_start_mountain,scheduled_start_prague,official_status,normalized_status,player_1_id,player_1_name,player_2_id,player_2_name,player_1_sets,player_2_sets,winner_player_id,winner_player_name,set_scores,completed_at_utc,first_seen_at_utc,last_seen_at_utc,source_snapshot_id,source,data_quality,content_hash
296236,35103,Tournament A17. League 900-1000,900-1000,2026-07-09T06:30:08.608000+00:00,2026-07-09T00:30:08.608000-06:00,2026-07-09T08:30:08.608000+02:00,3,COMPLETED,1128,Radim Urbaniec,1630,Petr Saleny,3,1,1128,Radim Urbaniec,,2026-07-09T06:43:07.519000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,31d4f4f2d29d024526dabaddb1e7a06012fa982f6d5bd02b53af7678487ce7d7
296212,35100,Tournament A16. League 500-550,500-550,2026-07-09T06:30:11.550000+00:00,2026-07-09T00:30:11.550000-06:00,2026-07-09T08:30:11.550000+02:00,3,COMPLETED,1769,Pavel Varecha,1012,Zbynek Zientek,3,1,1769,Pavel Varecha,,2026-07-09T06:48:40.571000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,5d6acf8adc16b4a4bb92d780660f6b9a1f1425076af4f0182800677d8f9ad7da
296276,35108,Tournament A18. League 350-400,350-400,2026-07-09T06:30:14.070000+00:00,2026-07-09T00:30:14.070000-06:00,2026-07-09T08:30:14.070000+02:00,3,COMPLETED,1219,Josef Toth,1744,Michal Derco,3,0,1219,Josef Toth,,2026-07-09T06:42:49.408000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,d318388e23ebb9210852d0972c6a25e83dbbb989db2f950142fde851d4c33731
296168,35095,Tournament A14. League 600-700,600-700,2026-07-09T06:30:25.693000+00:00,2026-07-09T00:30:25.693000-06:00,2026-07-09T08:30:25.693000+02:00,3,COMPLETED,1529,Jaroslav Bresky,1547,Dmitro Parhomenko,3,2,1529,Jaroslav Bresky,,2026-07-09T06:48:06.012000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,2a2ef2b4cf8055ddba080f19afd491cf2501b2a3696bcaab9022e35a50d5612f
296125,35090,Tournament A12. League 500-550,500-550,2026-07-09T07:00:02.594000+00:00,2026-07-09T01:00:02.594000-06:00,2026-07-09T09:00:02.594000+02:00,3,COMPLETED,1377,Mihail Trinta,1635,Julius Didi,3,1,1377,Mihail Trinta,,2026-07-09T07:19:36.651000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,144a7d04163dbf6e59d775c2cddd7ea1c1a798c6a374e1ed7e6cd5774b1b1a60
296237,35103,Tournament A17. League 900-1000,900-1000,2026-07-09T07:00:09.124000+00:00,2026-07-09T01:00:09.124000-06:00,2026-07-09T09:00:09.124000+02:00,3,COMPLETED,1582,Viktor Vejvoda,1128,Radim Urbaniec,0,3,1128,Radim Urbaniec,,2026-07-09T07:09:33.440000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,75cd44df7042a7ef989b056149b6957b4a715f5ac1bb2b71e0a3d613770252db
296213,35100,Tournament A16. League 500-550,500-550,2026-07-09T07:00:10.614000+00:00,2026-07-09T01:00:10.614000-06:00,2026-07-09T09:00:10.614000+02:00,3,COMPLETED,1760,David Mikula,1769,Pavel Varecha,0,3,1769,Pavel Varecha,,2026-07-09T07:12:04.196000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,fe3154649d8922d470af933d0cae80efe2fa32eefcdfe5171d3e92ad1036acf4
296169,35095,Tournament A14. League 600-700,600-700,2026-07-09T07:00:21.554000+00:00,2026-07-09T01:00:21.554000-06:00,2026-07-09T09:00:21.554000+02:00,3,COMPLETED,824,Milan Kolar,1529,Jaroslav Bresky,3,0,824,Milan Kolar,,2026-07-09T07:14:01.240000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,e1f2d2095285496ecedf07b2567fb103c749450dbda10426136f6d60b13d2c85
296126,35090,Tournament A12. League 500-550,500-550,2026-07-09T07:30:00.777000+00:00,2026-07-09T01:30:00.777000-06:00,2026-07-09T09:30:00.777000+02:00,3,COMPLETED,825,Milan Regner,1217,Martin Stefek,1,3,1217,Martin Stefek,,2026-07-09T07:46:59.142000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,ffa863ce4d5eddbf4ecf5d62ae2b8eea3ad42f23bb2649898013676f4a1a8cd0
296278,35108,Tournament A18. League 350-400,350-400,2026-07-09T07:30:08.693000+00:00,2026-07-09T01:30:08.693000-06:00,2026-07-09T09:30:08.693000+02:00,3,COMPLETED,1744,Michal Derco,1814,Miroslav Stolba,3,0,1744,Michal Derco,,2026-07-09T07:41:21.351000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,ba22d89b9780c56ca4533d197137697e3b7296eb175c5a4e26dd27190a0b388c
