tournament_id,tournament_name,league_band,first_seen_at_utc,last_seen_at_utc,first_scheduled_start_utc,latest_scheduled_start_utc,source
35088,Tournament A18. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-08T14:00:09.986000+00:00,2026-07-08T17:30:12.920000+00:00,api.league-pro.com
35089,Tournament A18. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-08T18:00:09.761000+00:00,2026-07-08T21:30:10.463000+00:00,api.league-pro.com
35090,Tournament A12. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T06:00:01.960000+00:00,2026-07-09T09:30:05.450000+00:00,api.league-pro.com
35091,Tournament A12. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T10:00:13.505000+00:00,2026-07-09T13:30:16.400000+00:00,api.league-pro.com
35092,Tournament A12. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T14:00:06.302000+00:00,2026-07-09T17:30:07.272000+00:00,api.league-pro.com
35093,Tournament A12. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T18:00:06.636000+00:00,2026-07-09T21:30:06.684000+00:00,api.league-pro.com
35094,Tournament A12. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T22:00:17.851000+00:00,2026-07-10T03:30:17.027000+00:00,api.league-pro.com
35095,Tournament A14. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T06:00:16.687000+00:00,2026-07-09T09:30:28.549000+00:00,api.league-pro.com
35096,Tournament A14. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T10:00:18.676000+00:00,2026-07-09T13:31:28.932000+00:00,api.league-pro.com
35097,Tournament A14. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T14:00:12.108000+00:00,2026-07-09T17:30:09.915000+00:00,api.league-pro.com
35098,Tournament A14. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T18:00:50.590000+00:00,2026-07-09T21:30:25.011000+00:00,api.league-pro.com
35099,Tournament A14. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T22:00:20.709000+00:00,2026-07-10T03:30:00.667000+00:00,api.league-pro.com
35100,Tournament A16. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T06:00:10.655000+00:00,2026-07-09T09:30:08.919000+00:00,api.league-pro.com
35101,Tournament A16. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T10:00:05.676000+00:00,2026-07-09T13:30:08.258000+00:00,api.league-pro.com
35102,Tournament A16. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T14:00:17.005000+00:00,2026-07-09T17:30:09.491000+00:00,api.league-pro.com
35103,Tournament A17. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T06:00:07.891000+00:00,2026-07-09T09:30:10.810000+00:00,api.league-pro.com
35104,Tournament A17. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T10:00:07.653000+00:00,2026-07-09T13:30:11.172000+00:00,api.league-pro.com
35105,Tournament A17. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T14:00:15.289000+00:00,2026-07-09T17:30:15.638000+00:00,api.league-pro.com
35106,Tournament A16. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T18:00:10.011000+00:00,2026-07-09T21:30:09.735000+00:00,api.league-pro.com
35107,Tournament A18. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T10:00:12.044000+00:00,2026-07-09T13:30:10.566000+00:00,api.league-pro.com
35108,Tournament A18. League 350-400,350-400,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T06:00:16.757000+00:00,2026-07-09T09:30:09.181000+00:00,api.league-pro.com
35109,Tournament A17. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T18:00:14.906000+00:00,2026-07-09T21:30:09.428000+00:00,api.league-pro.com
35110,Tournament A17. League 400-450,400-450,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T22:00:27.235000+00:00,2026-07-10T03:30:26.449000+00:00,api.league-pro.com
35111,Tournament A18. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T14:00:12.262000+00:00,2026-07-09T17:30:12.608000+00:00,api.league-pro.com
35112,Tournament A18. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-09T18:00:12.571000+00:00,2026-07-09T21:30:11.112000+00:00,api.league-pro.com
35113,Tournament A12. League 350-400,350-400,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T06:00:03.556000+00:00,2026-07-10T09:30:06.639000+00:00,api.league-pro.com
35114,Tournament A12. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T10:00:01.215000+00:00,2026-07-10T13:30:01.261000+00:00,api.league-pro.com
35115,Tournament A12. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T14:00:07.159000+00:00,2026-07-10T17:30:07.142000+00:00,api.league-pro.com
35116,Tournament A12. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T18:00:06.895000+00:00,2026-07-10T21:30:08.707000+00:00,api.league-pro.com
35117,Tournament A12. League 450-500,450-500,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T22:00:04.014000+00:00,2026-07-11T03:30:01.017000+00:00,api.league-pro.com
35118,Tournament A14. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T06:00:09.880000+00:00,2026-07-10T09:30:11.261000+00:00,api.league-pro.com
35119,Tournament A14. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T10:00:19.512000+00:00,2026-07-10T13:30:16.812000+00:00,api.league-pro.com
35120,Tournament A14. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T14:00:18.684000+00:00,2026-07-10T17:30:17.439000+00:00,api.league-pro.com
35121,Tournament A14. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T18:00:45.799000+00:00,2026-07-10T21:30:05.952000+00:00,api.league-pro.com
35122,Tournament A14. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T22:00:09.145000+00:00,2026-07-11T03:29:53.221000+00:00,api.league-pro.com
35123,Tournament A17. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T06:00:41.456000+00:00,2026-07-10T09:30:12.114000+00:00,api.league-pro.com
35124,Tournament A17. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T10:02:35.367000+00:00,2026-07-10T13:30:21.216000+00:00,api.league-pro.com
35125,Tournament A16. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T06:00:18.044000+00:00,2026-07-10T09:30:12.637000+00:00,api.league-pro.com
